id,origin,destination,distance_km,zone,base_fare_zar
311,EERSTE RIVER,STRATFORD,3.31,Zone 1,8.0
312,MOWBRAY,LANGA,8.93,Zone 2,12.0
313,KENSINGTON,MONTAGUE GARDENS,20.12,Zone 4,25.0
314,EERSTE RIVER,BELLVILLE,19.13,Zone 3,18.0
315,"LONDON VILLAGE,MITCHELLS PLAIN",TOWN CENTRE(MITCHELLS PLAIN),22.92,Zone 4,25.0
316,GUGULETU,WYNBERG,13.6,Zone 3,18.0
317,KUILSRIVER,BELLVILLE,13.59,Zone 3,18.0
318,"EINDHOVEN,DELFT",MITCHELLS PLAIN,14.14,Zone 3,18.0
319,NYANGA,TYGERBERG STATION,19.54,Zone 3,18.0
320,NYANGA,ELSIES RIVER,13.99,Zone 3,18.0
321,BELLVILLE,BLOEKOMBOS,18.46,Zone 3,18.0
322,LWANDLE,SOMERSET WEST RAILWAY STATION,6.91,Zone 2,12.0
323,MFULENI,KHAYELITSHA,11.89,Zone 3,18.0
324,MFULENI,BELLVILLE,20.98,Zone 4,25.0
325,KHAYELITSHA,MFULENI,9.99,Zone 2,12.0
326,SILVERSANDS,KUILSRIVER,18.47,Zone 3,18.0
327,TOWN CENTRE(MITCHELLS PLAIN),NORTHWOOD,6.54,Zone 2,12.0
328,KHAYELITSHA,NYANGA,10.83,Zone 3,18.0
329,MAITLAND,CAPE TOWN,7.15,Zone 2,12.0
330,MAITLAND,KILLARNEY GARDENS,14.22,Zone 3,18.0
331,STRANDFONTEIN,TOWN CENTRE(MITCHELLS PLAIN),14.08,Zone 3,18.0
332,STRANDFONTEIN,WYNBERG,18.32,Zone 3,18.0
333,STRANDFONTEIN,WESTGATE MALL(MITCHELLS PLAIN),12.64,Zone 3,18.0
334,LANGA,KHAYELITSHA,19.73,Zone 3,18.0
335,GRASSY PARK,STEENBERG,6.63,Zone 2,12.0
336,NYANGA,LANGA,10.51,Zone 3,18.0
337,HANOVER PARK,MANENBERG,6.56,Zone 2,12.0
338,BEACON VALLEY(CALYPSO SQUARE),MITCHELLS PLAIN,2.49,Zone 1,8.0
339,CROSS ROADS,CLAREMONT,18.59,Zone 3,18.0
340,STRAND,RUSTHOF,7.2,Zone 2,12.0
341,SIR LOWRYS PASS TOWN,MACASSAR,24.07,Zone 4,25.0
342,CAPE TOWN STATION DECK,MANENBERG,22.38,Zone 4,25.0
343,KUILSRIVER,MITCHELLS PLAIN,22.07,Zone 4,25.0
344,SILVERSANDS,EERSTERIVIER,9.43,Zone 2,12.0
345,MITCHELLS PLAIN(CALYPSO SQUARE),CAPE TOWN,34.82,Zone 4,25.0
346,PAROW,DELFT,22.02,Zone 4,25.0
347,FISH HOEK,MASIPHUMELELE,7.19,Zone 2,12.0
348,BLOEKOMBOS,KHAYELITSHA,31.16,Zone 4,25.0
349,STRAND,VANDER STEL STATION,8.75,Zone 2,12.0
350,STRAND,STRAND NORTH,37.01,Zone 5,35.0
351,KALKFONTEIN,KUILSRIVER,6.21,Zone 2,12.0
352,MFULENI,EERSTE RIVER,7.62,Zone 2,12.0
353,SIR LOWRYS PASS TOWN,LOURENSFORD PLAAS,18.17,Zone 3,18.0
354,SIR LOWRYS PASS TOWN,SOMERSET WEST(HOTTENTOTS HOSPITAL),11.45,Zone 3,18.0
355,SIR LOWRYS PASS TOWN,FIRGROVE (R102),22.75,Zone 4,25.0
356,SIR LOWRYS PASS TOWN,SOMERSET WEST (SUID STREET WESTRIDGE),16.09,Zone 3,18.0
357,SIR LOWRYS PASS TOWN,STRAND (AE &CI),16.3,Zone 3,18.0
358,SIR LOWRYS PASS TOWN,SOMERSET WEST,10.68,Zone 3,18.0
359,SIR LOWRYS PASS TOWN,STRAND,20.75,Zone 4,25.0
360,SIR LOWRYS PASS TOWN,RUSTHOF (STRAND),21.26,Zone 4,25.0
361,SCOTTSDENE,KHAYELITSHA,28.06,Zone 4,25.0
