id,origin,destination,distance_km,zone,base_fare_zar
606,BLOEKOMBOS,KRAAIFONTEIN STATION,3.72,Zone 1,8.0
607,KRAAIFONTEIN,JOOSTENBERG VLAKTE,38.24,Zone 5,35.0
608,SANLAM CENTRE PAROW,DELFT,22.1,Zone 4,25.0
609,EERSTE RIVER,MITCHELLS PLAIN,36.25,Zone 5,35.0
610,SAMORA MACHEL,SEA POINT,33.34,Zone 4,25.0
611,KHAYELITSHA,WYNBERG (VIA CLAREMONT),28.18,Zone 4,25.0
612,KHAYELITSHA,CLAREMONT (VIA WYNBERG),25.92,Zone 4,25.0
613,BELLVILLE,WESBANK,13.34,Zone 3,18.0
614,GUGULETU,BELLVILLE,18.39,Zone 3,18.0
615,LANGA,WYNBERG,15.49,Zone 3,18.0
616,LANGA,MOWBRAY (VIA WYNBERG),23.88,Zone 4,25.0
617,NYANGA,CLAREMONT (VIA WYNBERG),17.76,Zone 3,18.0
618,KOEBERG STATION,TABLE VIEW,18.04,Zone 3,18.0
619,LANGA,BELLVILLE,15.85,Zone 3,18.0
620,KHAYELITSHA,MAITLAND,32.11,Zone 4,25.0
621,TYGERBERG STATION,RAVENSMEAD,8.03,Zone 2,12.0
622,SIR LOWRYS PASS,SOMERSET WEST,11.37,Zone 3,18.0
623,BLOEKOMBOS,KRAAIFONTEIN (SHOPRITE),5.67,Zone 2,12.0
624,GOODWOOD STATION,TABLE VIEW,19.1,Zone 3,18.0
625,GOODWOOD STATION,MONTAGUE GARDENS,18.69,Zone 3,18.0
626,KRAAIFONTEIN,BRACKENFELL STATION,7.11,Zone 2,12.0
627,KRAAIFONTEIN,BOTFONTEIN - BOTLARY FARMS,6.35,Zone 2,12.0
628,KRAAIFONTEIN,GOLIATH ESTATE,4.39,Zone 1,8.0
629,PENTECH,PAROW,33.81,Zone 4,25.0
630,RATANGA JUNCTION,MAITLAND RAILWAY STATION,10.74,Zone 3,18.0
631,UNIBELL RAILWAY STATION,PAROW RAILWAY STATION,35.82,Zone 5,35.0
632,WESBANK,ELSIES RIVER STATION,18.61,Zone 3,18.0
633,STEENBERG,HILLVIEW,20.79,Zone 4,25.0
634,STEENBERG,"CAPRICORN,RETREAT",13.63,Zone 3,18.0
635,STEENBERG,"SEAWINDS,RETREAT",18.17,Zone 3,18.0
636,STEENBERG,"7TH & 11TH AVE,RETREAT",8.66,Zone 2,12.0
637,STEENBERG,"BLUE ROUTE,TOKAI",3.1,Zone 1,8.0
638,STEENBERG,MUIZENBERG,9.08,Zone 2,12.0
639,MITCHELLS PLAIN(TOWN CENTRE),MUIZENBERG,22.43,Zone 4,25.0
640,RETREAT,MONTAGUE VILLAGE,10.58,Zone 3,18.0
641,RETREAT,STEENBERG(HILLVIEW),13.11,Zone 3,18.0
642,RETREAT,VRYGROND - STEENBERG,14.94,Zone 3,18.0
643,RETREAT,WESTLAKE - RETREAT,15.25,Zone 3,18.0
644,RETREAT,WESTLAKE M3 - RETREAT,14.36,Zone 3,18.0
645,RETREAT,WESTLAKE - TOKAI,16.03,Zone 3,18.0
646,RETREAT,STEENBERG,7.63,Zone 2,12.0
647,RETREAT,CONSTANTIA - WYNBERG,10.92,Zone 3,18.0
648,RETREAT,MUIZENBERG-FISH HOEK,18.03,Zone 3,18.0
649,EINDHOVEN,BELLVILLE,13.98,Zone 3,18.0
650,WYNBERG,CONSTANTIA (SWEET VALLEY),15.06,Zone 3,18.0
651,"SANLAM CENTRE,PAROW",DELFT,17.97,Zone 3,18.0
652,"TOWN CENTRE,MITCHELLS PLAIN",BELLVILLE,26.65,Zone 4,25.0
653,MUTUAL,LANGA (BHUNGA),8.62,Zone 2,12.0
654,SEA POINT,EYONA,29.07,Zone 4,25.0
655,KHAYELITSHA,GOODWOOD-MAITLAND-KILLARNEY,50.58,Zone 5,35.0
656,MOWBRAY,NYANGA,18.64,Zone 3,18.0
657,7TH AVENUE MITCHELLS PLAIN,BELLVILLE RAILWAY STATION,26.67,Zone 4,25.0
658,DU NOON,MONTAGUE GARDENS,9.52,Zone 2,12.0
659,DU NOON,JOE SLOVO PARK,11.93,Zone 3,18.0
660,RATANGA JUNCTION,GOODWOOD,10.43,Zone 3,18.0
661,STRAND,LOURENSFORD & VERGELEGEN,23.73,Zone 4,25.0
662,STRAND,HOTTENTOTS HOLLAND HOSPITAL,19.26,Zone 3,18.0
663,NYANGA,SAMORA MACHEL,7.34,Zone 2,12.0
664,NYANGA,PHILIPPI,3.13,Zone 1,8.0
665,NYANGA JUNCTION,PHILIPPI,7.83,Zone 2,12.0
666,NYANGA,HEIDEVELD STATION,4.99,Zone 1,8.0
667,NYANGA,NYANGA JUNCTION,3.55,Zone 1,8.0
668,PHILIPPI,NYANGA TERMINUS,2.93,Zone 1,8.0
669,PHILIPPI,MITCHELLS PLAIN,10.53,Zone 3,18.0
670,PHILIPPI,CROSS ROADS,7.27,Zone 2,12.0
671,PHILIPPI,HEIDEVELD,8.68,Zone 2,12.0
672,PHILIPPI,NYANGA JUNCTION,5.62,Zone 2,12.0
673,PHILIPPI,SAMORA MACHEL,7.8,Zone 2,12.0
674,NYANGA JUNCTION,NYANGA,4.91,Zone 1,8.0
675,NYANGA JUNCTION,SAMORA MACHEL,6.63,Zone 2,12.0
676,NYANGA JUNCTION,CROSS ROADS,8.07,Zone 2,12.0
677,NYANGA JUNCTION,HEIDEVELD STATION,3.83,Zone 1,8.0
678,NYANGA JUNCTION,TAMBO VILLAGE,4.27,Zone 1,8.0
679,NYANGA,GUGULETU,6.45,Zone 2,12.0
680,NYANGA,PHILIPPI - LOWER CROSS ROADS,6.75,Zone 2,12.0
681,GUGULETU,NYANGA,4.01,Zone 1,8.0
682,GUGULETU,PHILIPPI - LOWER CROSS ROADS,8.46,Zone 2,12.0
683,PHILIPPI,GUGULETU,6.14,Zone 2,12.0
684,PHILIPPI,NYANGA,2.88,Zone 1,8.0
685,PHILIPPI,LOWER CROSS ROADS,5.1,Zone 2,12.0
686,LOWER CROSS ROADS,NYANGA,4.77,Zone 1,8.0
687,LOWER CROSS ROADS,GUGULETU,7.64,Zone 2,12.0
688,LOWER CROSS ROADS,PHILIPPI,5.09,Zone 2,12.0
689,NYANGA,WYNBERG (VIA GUGULETU VIA CLAREMONT),25.3,Zone 4,25.0
690,NYANGA,WYNBERG (VIA LOWER CROSS ROADS VIA PHILIPPI),22.03,Zone 4,25.0
691,NYANGA,CLAREMONT (VIA GUGULETU),22.04,Zone 4,25.0
692,NYANGA,CLAREMONT (GUGULETU),18.87,Zone 3,18.0
693,NYANGA,CLAREMONT (VIA PHILIPPI),19.59,Zone 3,18.0
694,NYANGA,CLAREMONT (VIA CROSS ROADS),19.84,Zone 3,18.0
695,NYANGA,WYNBERG (VIA GUGULETU),15.62,Zone 3,18.0
696,NYANGA,WYNBERG (VIA PHILIPPI),17.64,Zone 3,18.0
697,NYANGA,WYNBERG (VIA CROSS ROADS),17.83,Zone 3,18.0
698,KHAYELITSHA,EERSTE RIVER,9.17,Zone 2,12.0
699,KHAYELITSHA,BLACKHEATH,11.85,Zone 3,18.0
700,KHAYELITSHA,KUILSRIVER,16.42,Zone 3,18.0
701,KHAYELITSHA,LWANDLE,28.57,Zone 4,25.0
702,NYANGA TERM,MITCHELLS PLAIN,12.14,Zone 3,18.0
703,NYANGA,MITCHELLS PLAIN (VIA LOWER CROSS ROADS),10.96,Zone 3,18.0
704,NYANGA TERM,SAMORA MACHEL,7.34,Zone 2,12.0
705,YSTERPLAAT,MAITLAND,2.71,Zone 1,8.0
706,YSTERPLAAT,PARKLANDS,18.07,Zone 3,18.0
707,YSTERPLAAT,MONTAGUE GARDENS,13.93,Zone 3,18.0
708,YSTERPLAAT,METRO INDUSTRY(PAARDEN EILAND),4.75,Zone 1,8.0
709,YSTERPLAAT,KILLARNEY,13.29,Zone 3,18.0
710,KHAYELITSHA,FISH HOEK,39.89,Zone 5,35.0
711,CROOS ROADS(JO-BURG STORES),CLAREMONT,14.91,Zone 3,18.0
712,FISH HOEK,RETREAT,14.09,Zone 3,18.0
713,WYNBERG,NYANGA,19.85,Zone 3,18.0
714,SAMORA MACHEL,CLAREMONT,15.04,Zone 3,18.0
715,SAMORA MACHEL,CLAREMONT (VIA WYNBERG),16.61,Zone 3,18.0
716,ATLANTIS(WESFLEUR),FARMS(ATLANTIS),13.03,Zone 3,18.0
717,BELLVILLE,FISANTEKRAAL,22.31,Zone 4,25.0
718,BELLVILLE,CENTURY CITY (VIA N1),19.94,Zone 3,18.0
719,BELLVILLE,CENTURY CITY (VIA VOORTREKKER RD),20.21,Zone 4,25.0
720,SAXON WORLD,BELLVILLE,89.44,Zone 5,35.0
721,SAXON WORLD,LANGA STATION,69.64,Zone 5,35.0
722,DU NOON,CAPE TOWN,21.53,Zone 4,25.0
723,DU NOON,SUMMER GREENS,10.89,Zone 3,18.0
724,DU NOON,PARKLANDS,12.3,Zone 3,18.0
725,LANGA,DELFT,15.14,Zone 3,18.0
726,LEIDEN DELFT,ELSIES RIVER,17.4,Zone 3,18.0
727,LOWER CROSS ROADS,CAPE TOWN,31.26,Zone 4,25.0
728,CLAREMONT,LANGA,15.0,Zone 3,18.0
729,MASIPHUMELELE,SIMONS TOWN,25.69,Zone 4,25.0
730,CAPE TOWN,BELLVILLE,24.04,Zone 4,25.0
731,CROSS ROADS (JO-BURG STORES),WYNBERG,12.9,Zone 3,18.0
732,CROSS ROADS (JO-BURG STORES),WYNBERG (VIA CLAREMONT),14.85,Zone 3,18.0
733,CROSS ROADS (JO-BURG STORES),CLAREMONT(VIA WYNBERG),16.43,Zone 3,18.0
734,EYONA,CAPE TOWN,20.09,Zone 4,25.0
735,GUGULETU,KHAYELITSHA,15.49,Zone 3,18.0
736,GUGULETU,LANGA,15.92,Zone 3,18.0
737,BELLVILLE,LOWER CROSS ROADS,20.62,Zone 4,25.0
738,KHAYELITSHA,MONTE VISTA,37.25,Zone 5,35.0
739,KHAYELITSHA,DE LA REY,42.09,Zone 5,35.0
740,KHAYELITSHA,GOODWOOD,25.75,Zone 4,25.0
741,HAPPY VALLEY,BELLVILLE,16.94,Zone 3,18.0
742,WYNBERG,CENTURY CITY,22.99,Zone 4,25.0
743,MUIZENBERG,MITCHELLS PLAIN,23.95,Zone 4,25.0
744,MITCHELLS PLAIN,CENTURY CITY,36.59,Zone 5,35.0
745,BELLVILLE,DU NOON,26.24,Zone 4,25.0
746,DELFT,WYNBERG,18.7,Zone 3,18.0
747,MASIPHUMELELE,NOORDHOEK,10.31,Zone 3,18.0
748,DELFT,WYNBERG (VIA CLAREMONT),24.37,Zone 4,25.0
749,NYANGA,GOODWOOD,17.82,Zone 3,18.0
750,CAPE TOWN,RUYTERWACHT (VIA GARDEN VILLAGE),23.75,Zone 4,25.0
751,WYNBERG,BISHOPS COURT,12.59,Zone 3,18.0
752,"LEIDEN,DELFT",BELLVILLE,13.14,Zone 3,18.0
753,KHAYELITSHA,CENTURY CITY,31.56,Zone 4,25.0
754,CAPE TOWN (STATION DECK),FRANKDALE,42.6,Zone 5,35.0
755,CAPE TOWN (STATION DECK),SANDRIFT - MONTAGUE GARDENS,18.44,Zone 3,18.0
756,CAPE TOWN (STATION DECK),TABLE VIEW,26.89,Zone 4,25.0
757,MOWBRAY,CENTURY CITY,12.16,Zone 3,18.0
758,GUGULETU,MOWBRAY,19.3,Zone 3,18.0
759,LEIDEN,ELSIES RIVER,18.88,Zone 3,18.0
760,LOWER CROSS ROADS,WYNBERG,17.39,Zone 3,18.0
761,PHILIPPI,WYNBERG,14.5,Zone 3,18.0
762,DELFT,WYNBERG AND RETURN,42.28,Zone 5,35.0
763,LOWER CROSSROADS,WYNBERG (VIA CLAREMONT),23.04,Zone 4,25.0
764,NYANGA TAXI RANK,DELFT,12.55,Zone 3,18.0
765,SAMORA MACHEL,WYNBERG,13.34,Zone 3,18.0
766,LEIDEN,BELLVILLE,13.16,Zone 3,18.0
767,KHAYELITSHA,MACASSAR,21.57,Zone 4,25.0
768,WYNBERG,LANGA,15.72,Zone 3,18.0
769,MASIPHUMELELE,KOMMETJIE,7.53,Zone 2,12.0
770,YSTERPLAAT,MITCHELLS PLAIN,33.84,Zone 4,25.0
771,SURBURBAN BLISS,ATHLONE,24.24,Zone 4,25.0
772,SURBURBAN BLISS,MOWBRAY,28.19,Zone 4,25.0
773,SURBURBAN BLISS,CAPE TOWN,35.13,Zone 5,35.0
774,SURBURBAN BLISS,SEA POINT,44.75,Zone 5,35.0
775,SURBURBAN BLISS,ELSIES RIVER,18.99,Zone 3,18.0
776,SURBURBAN BLISS,PAROW,19.24,Zone 3,18.0
777,CROSS ROADS(JO-BURG STORES),CLAREMONT,14.85,Zone 3,18.0
778,WESBANK,PAROW STATION,15.51,Zone 3,18.0
779,MUTUAL RAILWAY STATION,BELLVILLE,7.69,Zone 2,12.0
780,LWANDLE,SOMERSET WEST (VIA DENNEGEUR),10.83,Zone 3,18.0
781,LWANDLE,HELDERVUE (SOMERSET WEST),13.68,Zone 3,18.0
782,LWANDLE,SANDVLEI,15.34,Zone 3,18.0
783,LWANDLE,SOMERSET WEST(VIA NOMZAMO),9.96,Zone 2,12.0
784,WALLACEDENE,BLOEKOMBOS,5.69,Zone 2,12.0
785,LWANDLE,GORDONS BAY,6.94,Zone 2,12.0
786,DU NOON,CAPE TOWN (VIA VOORTREKKER ROAD),22.57,Zone 4,25.0
787,DELFT SOUTH,EPPING (VIA MODDERDAM ROAD),21.22,Zone 4,25.0
788,DELFT SOUTH,EPPING (VIA 35TH STREET & OWEN ROAD),18.97,Zone 3,18.0
789,HANOVER PARK,CAPE TOWN (VIA KROMBOOM PARKWAY),19.11,Zone 3,18.0
790,HANOVER PARK,CAPE TOWN (VIA FREEWAY),21.53,Zone 4,25.0
791,CAPE TOWN,SUMMER GREENS (VIA PHOENIX VILLAGE & JOE SLOVO),16.63,Zone 3,18.0
792,CAPE TOWN,SUMMER GREENS,15.8,Zone 3,18.0
793,CAPE TOWN,CAMBRIDGE (VIA BROOKLYN & RUGBY),11.62,Zone 3,18.0
794,MFULENI,SOMERSET WEST,27.24,Zone 4,25.0
795,MFULENI,STELLENBOSCH,27.88,Zone 4,25.0
796,TOWN CENTRE CALYPSO SQUARE MITCHELLS PLAIN,MUIZENBERG,25.53,Zone 4,25.0
797,RETREAT,"ATHLONE (VIA KLIP RD, PLANTATION, WETTON, LANSDOWNE & JAN SMUTS DR)",19.3,Zone 3,18.0
798,RETREAT,ATHLONE (VIA M5 & KLIPFONTEIN RD),17.53,Zone 3,18.0
799,MUTUAL STATION,"MUTUAL RAILWAY STATION (VIA PINELANDS, FOREST DR & RINGWOOD DR)",8.88,Zone 2,12.0
800,VOORBRUG DELFT,"MITCHELLS PLAIN (VIA LEIDEN, HINDLE, R300 & AZ BERMAN DR)",17.01,Zone 3,18.0
801,TOWN CENTRE MITCHELLS PLAIN,JOHANNES MEINTJIES LENTEGEUR,6.16,Zone 2,12.0
802,NYANGA,TAMBO VILLAGE,20.66,Zone 4,25.0
803,TOWN CENTRE CALYPSO SQUARE MITCHELLS PLAIN,CAPE TOWN (VIA MOWBRAY),32.97,Zone 4,25.0
804,TOWN CENTRE CALYPSO SQUARE MITCHELLS PLAIN,"CAPE TOWN (VIA N2, LIESBEECK PRKWY, STATION RD, MAIN RD)",35.83,Zone 5,35.0
805,TOWN CENTRE CALYPSO SQUARE MITCHELLS PLAIN,"CAPE TOWN (VIA N2, EASTERN BLVD)",35.62,Zone 5,35.0
806,TOWN CENTRE CALYPSO SQUARE MITCHELLS PLAIN,CAPE TOWN (VIA BORCHERDS QUARRY & N2),33.21,Zone 4,25.0
807,TOWN CENTRE CALYPSO SQUARE MITCHELLS PLAIN,"CAPE TOWN (VIA SAMORA MACHEL, VANGUARD, N2)",34.85,Zone 4,25.0
808,TOWN CENTRE CALYPSO SQUARE MITCHELLS PLAIN,"CAPE TOWN (HIGHLANDS DR, VANGUARD, N2)",34.44,Zone 4,25.0
809,KHAYELITSHA SITE C,PLATTEKLOOF,33.36,Zone 4,25.0
810,RETREAT,"ATHLONE (VIA M5, OTTERY RD, ROSMEAD, MILNER & KLIPFONTEIN)",20.08,Zone 4,25.0
811,KHAYELITSH SITE C,PANORAMA,29.13,Zone 4,25.0
812,LWANDLE,SOMERSET WEST MALL,10.21,Zone 3,18.0
813,LWANDLE,HELDERVUE (SOMERSET WES),14.23,Zone 3,18.0
814,LWANDLE,KOGGELBAAI,30.98,Zone 4,25.0
815,KHAYELITSH SITE C,MONTE VISTA,32.56,Zone 4,25.0
816,KHAYELITSHA SITE C,KILLARNEY,33.8,Zone 4,25.0
817,YSTERPLAAT RAILWAY STATION,MONTAGUE GARDENS,11.07,Zone 3,18.0
818,YSTERPLAAT RAILWAY STATION,FRANKDALE,41.31,Zone 5,35.0
819,YSTERPLAAT RAILWAY STATION,SANDRIF,7.18,Zone 2,12.0
820,YSTERPLAAT RAILWAY STATION,MILNERTON,8.56,Zone 2,12.0
821,YSTERPLAAT RAILWAY STATION,CAMBRIDGE,5.64,Zone 2,12.0
822,YSTERPLAAT RAILWAY STATION,MONTAGUE GARDENS (VIA SANDRIF),14.38,Zone 3,18.0
823,KALKFONTEIN,SHOPRITE KUILSRIVER,7.61,Zone 2,12.0
824,VREDENDAL,CAPE TOWN,147.69,Zone 5,35.0
825,STELLENBOSCH (DU TOIT STATION),BELLVILLE,31.4,Zone 4,25.0
826,TOWN CENTRE CALYPSO SQUARE MITCHELLS PLAIN,CAPE TOWN (VIA MERRYDALE),38.06,Zone 5,35.0
827,PHILIPPI,ATHLONE,14.57,Zone 3,18.0
828,PHILIPPI,MOWBRAY,18.59,Zone 3,18.0
829,PHILIPPI,CAPE TOWN,27.03,Zone 4,25.0
830,DU NOON,BELLVILLE,22.24,Zone 4,25.0
831,LWANDLE,SIR LOWRY'S PASS,7.24,Zone 2,12.0
832,KRAAIFONTEIN,SCOTTSVILLE  - BRACKENFELL,12.07,Zone 3,18.0
833,BLOEKOMBOS,BELLVILLE (VIA WALLACEDENE),42.4,Zone 5,35.0
834,BLOEKOMBOS,SCOTTSVILLE,11.5,Zone 3,18.0
835,SCOTTSVILLE,BELLVILLE,12.94,Zone 3,18.0
836,SCOTTSVILLE,SCOTTSDENE,9.45,Zone 2,12.0
837,BRACKENFELL STATION,DURBANVILLE,16.37,Zone 3,18.0
838,NORTHPINE,CAPE GATE (VIA PROTEA HEIGHTS),23.03,Zone 4,25.0
839,SCOTTSDENE,CAPE GATE,5.71,Zone 2,12.0
840,NORTHPINE,CAPE GATE,3.76,Zone 1,8.0
841,EIKENFONTEIN,CAPE GATE,4.83,Zone 1,8.0
842,SCOTTSVILLE,CAPE GATE,3.15,Zone 1,8.0
843,BLOEKOMBOS,CAPE GATE,8.04,Zone 2,12.0
844,WALLACEDENE,CAPE GATE,6.97,Zone 2,12.0
845,KRAAIFONTEIN,CAPE GATE,7.23,Zone 2,12.0
846,BLOEKOMBOS,CAPE GATE (VIA MAROELA RD & N1),10.61,Zone 3,18.0
847,KHAYELITSHA,PANORAMA (VIA ELSIES RIVER),47.97,Zone 5,35.0
848,LANGA,VANGATE MALL,2.99,Zone 1,8.0
849,BONTEHEUWEL,VANGATE MALL,6.79,Zone 2,12.0
850,PHILIPPI,VANGATE MALL,11.74,Zone 3,18.0
851,NYANGA,VANGATE MALL,8.62,Zone 2,12.0
852,GUGULETU,VANGATE MALL,6.21,Zone 2,12.0
853,SAMORA MACHEL,VANGATE MALL,12.28,Zone 3,18.0
854,HANOVER PARK,VANGATE MALL (VIA BELGRAVIA RD),9.27,Zone 2,12.0
855,HANOVER PARK,VANGATE MALL (VIA NEWFIELDS),5.66,Zone 2,12.0
856,HANOVER PARK,VANGATE MALL (VIA VAGUARD DR),6.44,Zone 2,12.0
857,HEIDEVELD,VANGATE MALL (VIA HEIDEVELD),4.65,Zone 1,8.0
858,HEIDEVELD,VANGATE MALL (VIA DEVILS PEAK RD & KLIPFONTEIN RD),4.02,Zone 1,8.0
859,HEIDEVELD,VANGATE MALL (VIA HEIDEVELD & 5TH AVENUE),5.75,Zone 2,12.0
860,KHAYELITSHA SITE C,VANGATE MALL (VIA N2),17.27,Zone 3,18.0
861,ATHLONE,VANGATE MALL (VIA BRIDGETOWN),5.32,Zone 2,12.0
862,LEIDEN DELFT,CAPE TOWN (VIA N2 & MAIN RD),35.7,Zone 5,35.0
863,FEZEKA,MITCHELL'S PLAIN,12.78,Zone 3,18.0
864,SAMORA MACHEL,MITCHELL'S PLAIN,10.14,Zone 3,18.0
865,LWANDLE,HELDERBERG (VIA HELDERVUE),31.46,Zone 4,25.0
866,PHILIPPI STATION TRANSPORT INTERCHANGE,MITCHELLS PLAIN,15.19,Zone 3,18.0
867,NYANGA STATION PUBLIC TRANSPORT INTERCHANGE,MITCHELLS PLAIN (VIA FEZEKA),14.63,Zone 3,18.0
868,ATHLONE,BRIDGETOWN (VIA VANGATE MALL),5.73,Zone 2,12.0
869,IMIZAMO YETHU,HOUT BAY DAY HOSPITAL,5.16,Zone 2,12.0
870,IMIZAMO YETHU,SHOPRITE HOUT BAY,3.43,Zone 1,8.0
871,KENSINGTON,"BELLVILLE (VIA CAPE TOWN, N1, VANGUARD DR & VOORTREKKER RD)",41.38,Zone 5,35.0
872,KENSINGTON,"BELLVILLE (VIA CAPE TOWN, N1 & DURBAN RD)",41.31,Zone 5,35.0
873,LANGA,"BELLVILLE (VIA N2, CAPE TOWN, N1, VANGUARD DR & VOORTREKKER RD)",43.58,Zone 5,35.0
874,LANGA,"BELLVILLE (VIA N2, CAPE TOWN, N1, & DURBAN RD)",43.51,Zone 5,35.0
875,KHAYELITSHA SITE C,"BELLVILLE (VIA N2, CAPE TOWN, N1, VANGUARD DR & VOORTREKKER RD)",60.99,Zone 5,35.0
876,KHAYELITSHA SITE C,"BELLVILLE (VIA N2, CAPE TOWN, N1, & DURBAN RD)",60.93,Zone 5,35.0
877,MFULENI,TYGERBERG RAILWAY STATION (VIA ELSIES RIVER & PAROW),33.2,Zone 4,25.0
878,MFULENI,ELSIES RIVER,24.68,Zone 4,25.0
879,LWANDLE,SIR LOWRYS PASS,7.63,Zone 2,12.0
880,MAITLAND STATION,KILLARNEY & DU NOON (VIA N1 & N7),21.37,Zone 4,25.0
881,MAITLAND STATION,SUMMER GREENS(VIA N1 FREEWAY),12.69,Zone 3,18.0
882,MAITLAND STATION,SUMMER GREENS (VIA SANDRIFT),12.4,Zone 3,18.0
883,MAITLAND STATION,"WEST BEACH, SUNNINGDALE & PARKLANDS",28.59,Zone 4,25.0
884,MAITLAND STATION,KILLARNAY & DU NOON (VIA KOEBERG ROAD),18.34,Zone 3,18.0
885,MAITLAND STATION,MILNERTON RIDGE (VIA ASCOT VILLAGE),13.13,Zone 3,18.0
886,MAITLAND STATION,PARKLANDS (VIA KOEBERG ROAD),22.4,Zone 4,25.0
887,LANGA,CENTURY CITY,16.16,Zone 3,18.0
888,WYNBERG,HOUT BAY (VIA VICTORIA HOSPITAL),21.84,Zone 4,25.0
889,SUBURBAN BLISS,TYGERBERG STATION (VIA TYGERBERG HOSPITAL),24.28,Zone 4,25.0
890,MUTUAL STATION,BOTHASIG,19.95,Zone 3,18.0
891,ROOSENDAL,BELLVILLE,13.1,Zone 3,18.0
892,KOEBERG STATION,PARKLANDS,18.44,Zone 3,18.0
893,MITCHELLS PLAIN,"CLAREMONT (VIA MERRYDALE, DUINEFONTEIN & PHILLIPPI RING RD)",29.58,Zone 4,25.0
894,MITCHELLS PLAIN,"CLAREMONT (VIA MERRYDALE, LANSDOWNE, JAN SMUTS DR & TURFHALL)",27.2,Zone 4,25.0
895,MITCHELLS PLAIN,"CLAREMONT (VIA ROCKLANDS, WESTGATE MALL, OLD LANSDOWNE, HEINS & TURFHALL)",30.33,Zone 4,25.0
896,NYANGA,TYGERBERG STATION (VIA TYGERBERG HOSPITAL),23.55,Zone 4,25.0
897,MACASSAR,EERSTE RIVIER STASIE,13.56,Zone 3,18.0
898,MELKBOSSTRAND,ATLANTIS,33.06,Zone 4,25.0
899,CAPE TOWN,KOEBERG STATION,7.01,Zone 2,12.0
900,SANDRIFT,KOEBERG STATION,8.6,Zone 2,12.0
901,MONTAGUE GARDENS,KOEBERG STATION,11.67,Zone 3,18.0
902,MILNERTON,KOEBERG STATION,10.3,Zone 3,18.0
903,CAMBRIDGE,KOEBERG STATION,7.4,Zone 2,12.0
904,KOEBERG STATION,TABLEVIEW,21.84,Zone 4,25.0
905,CAPE TOWN,MAMRE (VIA KILLARNEY),79.59,Zone 5,35.0
906,TABLEVIEW,YSTERPLAAT,20.45,Zone 4,25.0
907,TABLE VIEW,DU NOON,9.51,Zone 2,12.0
908,DU NOON,TABLEVIEW,9.5,Zone 2,12.0
909,TABLE VIEW,MORNINGSTAR,17.91,Zone 3,18.0
910,MORNINGSTAR,TABLEVIEW,17.93,Zone 3,18.0
911,CAPE TOWN,TABLEVIEW (VIA SUMMER GREENS & MONTAGUE GARDENS),28.7,Zone 4,25.0
912,YSTERPLAAT STATION,TABLEVIEW,16.33,Zone 3,18.0
913,KOEBERG STATION,TABLEVIEW (VIA N1 & MONTAGUE GARDENS),22.1,Zone 4,25.0
914,KOBERG STATION,TABLEVIEW (VIA RACECOURSE),16.09,Zone 3,18.0
915,KOBERG STATION,TABLEVIEW (VIA LOXTON ROAD),15.82,Zone 3,18.0
916,KOBERG STATION,TABLEVIEW (VIA BOUNDARY ROAD),16.22,Zone 3,18.0
917,KOEBERG STATION,KILLARNEY,15.3,Zone 3,18.0
918,CAPE TOWN,KILLARNEY (VIA SUMMER GREENS & MONTAGUE GARDENS),25.98,Zone 4,25.0
919,KOEBEGR STATION,KILLARNEY,15.75,Zone 3,18.0
920,KILLARNEY,DU NOON,3.96,Zone 1,8.0
921,DE NOON,KILLARNEY,3.93,Zone 1,8.0
922,KOBERG STATION,"KILLARNEY (VIA N1, N7 & MONTAGUE GARDENS)",18.26,Zone 3,18.0
923,MORNINGSTAR,KILLARNEY,18.56,Zone 3,18.0
924,KOEBERG STATION,DOLPHIN BEACH,22.29,Zone 4,25.0
925,SUMMERGREENS,KOEBERG STATION,10.92,Zone 3,18.0
926,KILLARNEY,KOEBERG STATION,13.98,Zone 3,18.0
927,PAARDEN EILAND,KOEBERG STATION,8.53,Zone 2,12.0
928,YSTERPLAAT STATION,KOEBERG STATION,2.7,Zone 1,8.0
929,MELKBOSSTRAND,KOEBERG STATION,46.69,Zone 5,35.0
930,KOBERG STATION,MONTAGUE GARDENS,12.87,Zone 3,18.0
931,BOTHASIG,DU NOON,13.43,Zone 3,18.0
932,MAITLAND STATION,DU NOON,17.32,Zone 3,18.0
933,TABLEVIEW BAYSIDE CENTRE,KOEBERG STATION,18.01,Zone 3,18.0
934,TABLEVIEW BAYSIDE CENTRE,KEOBERG STATION,18.01,Zone 3,18.0
935,TABLEVIEW BAYSIDE CENTRE,GOODWOOD STATION,19.87,Zone 3,18.0
936,MONTAGUE GARDENS,GOODWOOD STATION,18.23,Zone 3,18.0
937,KILLARNEY,KHAYELITSHA (VIA MAITLAND & GOODWOOD),50.89,Zone 5,35.0
938,MONTAGUE GARDENS,DU NOON,9.58,Zone 2,12.0
939,JOE SLOVO PARK,DU NOON,11.8,Zone 3,18.0
940,GOODWOOD,RATANGA JUNCTION,9.89,Zone 2,12.0
941,GOODWOOD,RATANGA JUNCTION (VIA SUMMER GREENS & MONTAGUE GARDENS),18.42,Zone 3,18.0
942,MAITLAND,YSTERPLAAT,2.76,Zone 1,8.0
943,PARKLANDS,YSTERPLAAT,18.02,Zone 3,18.0
944,MONTAGUE GARDENS,YSTERPLAAT,10.21,Zone 3,18.0
945,METRO INDUSTRY (PAARDEN EILAND),YSTERPLAAT,4.72,Zone 1,8.0
